time,t_in,theta_1,theta_6
0,218.7739457,0,0
1,196.5915199,5.077008253,0
2,204.7338952,9.406339262,1.09338148828639e-09
3,207.622252,13.7286364,2.56964471593464e-08
4,215.9948309,17.92440025,1.65122204503087e-07
5,215.9534227,22.12871393,6.43970293457566e-07
6,206.2853378,26.14777947,1.89946454312019e-06
7,206.3605963,29.76847012,4.67091826358533e-06
8,199.5703004,33.23677732,1.00953158854653e-05
9,206.8983353,36.40169873,1.98042352851459e-05
10,187.3185578,39.60599111,3.60185822543914e-05
11,210.260763,42.22440457,6.16385274031287e-05
12,228.0392294,45.27158491,0.000100327
13,216.2596011,48.60866884,0.000156585
14,190.0890429,51.53725019,0.000235816
15,217.9936401,53.74305744,0.000344392
16,188.3586519,56.51485725,0.000489698
17,217.681637,58.49169718,0.000680184
18,205.5561766,61.07885652,0.000925393
19,190.0835019,63.28662614,0.001235984
20,194.013305,65.05521243,0.00162375
21,207.0005617,66.85529878,0.002101622
22,214.6109125,68.89567257,0.002683664
23,197.2724385,71.04059157,0.003385065
24,193.7361704,72.70646914,0.004222117
25,198.3334583,74.23582217,0.005212191
26,212.3842313,75.82365407,0.006373707
27,213.9438115,77.68659034,0.007726096
28,205.7821034,79.52209618,0.009289764
29,219.5081883,81.10594364,0.011086039
30,203.803442,82.9577174,0.013137131
31,211.2590968,84.38210581,0.015466079
32,195.536293,85.93630307,0.018096704
33,207.8119398,87.07635404,0.021053554
34,207.3434323,88.47097676,0.024361854
35,200.4319297,89.81250728,0.028047447
36,201.4041833,90.95376967,0.03213674
37,211.6130192,92.08679609,0.036656643
38,214.0556775,93.42611012,0.041634514
39,193.2954841,94.7818263,0.047098098
40,199.6083119,95.61465475,0.053075469
41,218.7645913,96.57679372,0.059594974
42,211.0575093,97.96003998,0.066685177
43,225.283693,99.12142711,0.074374799
44,201.4777266,100.5801193,0.082692668
45,203.2343955,101.4397583,0.091667665
46,202.9577186,102.3210867,0.101328676
47,203.4097703,103.1756542,0.111704544
48,216.5251752,104.0213577,0.122824025
49,215.3595123,105.1522344,0.134715741
50,245.9042028,106.2235525,0.147408133
51,218.4574527,107.9738593,0.160929426
52,183.8145756,109.0261198,0.175307584
53,198.3586451,109.2456113,0.19057028
54,207.703971,109.8118844,0.206744864
55,197.9204294,110.58785,0.223858338
56,201.7270094,111.11964,0.241937316
57,204.095462,111.7336288,0.261007998
58,200.5453871,112.3923486,0.281096141
59,186.8837615,112.9561331,0.302227024
60,205.2386446,113.1944527,0.324425424
61,195.1654083,113.864966,0.347715589
62,208.0076711,114.2877041,0.37212121
63,179.8987156,115.0056446,0.397665397
64,206.4375505,115.0546063,0.424370656
65,203.2581009,115.7333353,0.452258867
66,208.6401234,116.3228092,0.481351267
67,199.6707918,117.0256788,0.511668424
68,194.0751452,117.5035287,0.543230233
69,203.3657403,117.8448719,0.576055891
70,207.2720305,118.4012173,0.610163897
71,196.0669063,119.037477,0.645572036
72,194.0502773,119.3991489,0.682297377
73,200.5830085,119.7119598,0.720356262
74,187.9664565,120.1763126,0.759764308
75,186.7080383,120.3406098,0.800536402
76,186.1409853,120.4820338,0.842686699
77,208.2048264,120.6173644,0.886228621
78,206.7284961,121.2717564,0.931174857
79,205.5912742,121.8748089,0.977537358
80,237.2893059,122.4367244,1.025327342
81,209.5062077,123.7213375,1.074555296
82,211.3581981,124.31507,1.12523098
83,203.0966581,124.9376508,1.177363441
84,188.7712026,125.3529908,1.23096103
85,218.0932534,125.4298261,1.286031411
86,216.6501455,126.1964445,1.342581582
87,209.5199627,126.9069274,1.400617888
88,184.6275722,127.4319201,1.460146032
89,211.867935,127.3677468,1.521171097
90,208.3650361,127.9511799,1.583697559
91,226.3297761,128.4386837,1.647729303
92,205.6339859,129.3328198,1.713269636
93,198.0831147,129.717674,1.780321304
94,195.6168078,129.9217904,1.848886503
95,201.9609823,130.0713192,1.918966906
96,200.6215163,130.3730028,1.990563666
97,215.7772767,130.6413076,2.063677439
98,227.6282478,131.2604099,2.138308394
99,192.7368173,132.1373597,2.21445622
100,203.0992831,132.1756167,2.292120144
101,202.871106,132.4639977,2.371298946
102,187.1298659,132.7449696,2.451990968
103,206.7541686,132.6587208,2.534194131
104,199.9550306,133.0426689,2.617905946
105,198.8876591,133.261719,2.703123524
106,216.8185658,133.4563796,2.789843585
107,211.5946807,134.0685022,2.878062466
108,197.727806,134.5414319,2.967776132
109,213.6758207,134.6810397,3.058980184
110,201.3040949,135.194505,3.151669871
111,198.8079264,135.4072857,3.2458401
112,204.8431074,135.5623671,3.341485449
113,194.8483796,135.8602373,3.438600177
114,200.9484737,135.9221793,3.537178234
115,199.8323009,136.1324357,3.637213273
116,202.1706858,136.3165326,3.738698657
117,203.7914135,136.5557183,3.841627465
118,224.7370238,136.8306817,3.945992506
119,212.7157227,137.5881509,4.051786321
120,200.0901361,138.0408659,4.159001195
121,214.4105277,138.1889587,4.267629165
122,213.2352026,138.6717389,4.377662033
123,214.5370186,139.1141019,4.489091377
124,205.4956629,139.5754177,4.601908563
125,191.5690745,139.8147935,4.716104758
126,211.2056056,139.7290558,4.831670943
127,208.6449433,140.1119058,4.948597924
128,195.0284311,140.4264622,5.066876341
129,223.7224341,140.4192772,5.186496682
130,201.5351584,141.0869482,5.307449287
131,213.3477035,141.2175228,5.429724359
132,194.8385638,141.6248056,5.553311969
133,219.0722337,141.5922997,5.67820207
134,202.3023445,142.1321053,5.804384502
135,199.6913494,142.2661956,5.931848998
136,213.5077354,142.3418471,6.060585196
137,202.6578254,142.7428365,6.190582641
138,222.0288333,142.8816643,6.321830795
139,223.3529449,143.4717026,6.454319042
140,206.2132514,144.0733286,6.588036692
141,229.8016376,144.2576477,6.722972992
142,199.022896,144.9890842,6.859117129
143,196.628438,144.9807609,6.996458243
144,192.2381711,144.9255006,7.134985435
145,192.5903245,144.7789351,7.274687776
146,209.2165515,144.6550882,7.415554313
147,200.8771532,144.9303262,7.557574071
148,212.6076755,145.0067382,7.700736056
149,208.0572657,145.3591798,7.845029251
150,198.674308,145.5970405,7.990442624
